epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.009,1.44682,1.66962,1.27301,0.68269,0.49207,0.53644,0.2765,1.39239,1.24448,1.22151,0.00332983,0.00332983,0.00332983
2,450.454,1.4346,1.36795,1.2599,0.66097,0.48349,0.51755,0.26601,1.4979,1.30304,1.32977,0.00653123,0.00653123,0.00653123
3,765.947,1.49396,1.39601,1.30254,0.65804,0.45,0.49498,0.23997,1.64593,1.3849,1.46717,0.00960063,0.00960063,0.00960063
4,941.226,1.52467,1.4038,1.32989,0.64179,0.44972,0.48388,0.23716,1.66466,1.4266,1.4467,0.009406,0.009406,0.009406
5,1061.69,1.46872,1.33942,1.30605,0.68881,0.47045,0.5328,0.28006,1.52945,1.21888,1.36773,0.009208,0.009208,0.009208
6,1184.36,1.43118,1.28257,1.28228,0.69711,0.51082,0.57079,0.30047,1.48634,1.14633,1.35622,0.00901,0.00901,0.00901
7,1305.36,1.39809,1.24602,1.26712,0.69358,0.50038,0.54679,0.29318,1.49219,1.15859,1.34684,0.008812,0.008812,0.008812
8,1427.27,1.3693,1.21048,1.25114,0.69834,0.50534,0.56604,0.30447,1.48063,1.16494,1.35052,0.008614,0.008614,0.008614
9,1549.3,1.35542,1.18392,1.24147,0.71415,0.51154,0.58479,0.32414,1.41479,1.09247,1.2985,0.008416,0.008416,0.008416
10,1672.41,1.3369,1.16434,1.23439,0.71182,0.5283,0.59689,0.32787,1.40623,1.05741,1.29242,0.008218,0.008218,0.008218
11,1793.22,1.3165,1.13592,1.21967,0.73222,0.5397,0.61394,0.33926,1.39709,1.0621,1.28885,0.00802,0.00802,0.00802
12,1914.7,1.29992,1.12353,1.21228,0.73185,0.55378,0.62073,0.34452,1.37195,1.02109,1.26277,0.007822,0.007822,0.007822
13,2035.83,1.28663,1.1049,1.20547,0.725,0.55497,0.62123,0.34841,1.35682,0.98028,1.25798,0.007624,0.007624,0.007624
14,2156.81,1.27515,1.09116,1.19968,0.7513,0.54014,0.62185,0.35366,1.34507,0.98558,1.25085,0.007426,0.007426,0.007426
15,2277.42,1.26976,1.07609,1.19467,0.75449,0.56015,0.6355,0.36275,1.32801,0.96508,1.23653,0.007228,0.007228,0.007228
16,2398.57,1.25706,1.06193,1.18718,0.75054,0.55798,0.63639,0.36574,1.32131,0.97223,1.23639,0.00703,0.00703,0.00703
17,2522.66,1.24035,1.05141,1.17799,0.74161,0.57643,0.64838,0.37215,1.32914,0.9433,1.24039,0.006832,0.006832,0.006832
18,2642.92,1.23095,1.03173,1.17398,0.76,0.56923,0.6509,0.37821,1.29834,0.93187,1.21601,0.006634,0.006634,0.006634
19,2763.76,1.22921,1.03106,1.16963,0.7593,0.57054,0.65424,0.38001,1.2892,0.9257,1.20647,0.006436,0.006436,0.006436
20,2890.43,1.21924,1.01366,1.16475,0.75739,0.57627,0.65139,0.37891,1.2991,0.92007,1.21724,0.006238,0.006238,0.006238
21,3015.94,1.20213,1.00603,1.15858,0.75509,0.57636,0.65954,0.39006,1.27683,0.8901,1.19784,0.00604,0.00604,0.00604
22,3141.21,1.19758,0.99392,1.15476,0.77991,0.57078,0.66567,0.39194,1.27178,0.89396,1.19714,0.005842,0.005842,0.005842
23,3265.17,1.19455,0.98626,1.15057,0.77459,0.58724,0.67421,0.40078,1.2595,0.8616,1.194,0.005644,0.005644,0.005644
24,3393.59,1.18444,0.97429,1.14406,0.77362,0.59362,0.67656,0.40285,1.25227,0.86675,1.18255,0.005446,0.005446,0.005446
25,3516.38,1.17699,0.97015,1.14247,0.77714,0.59099,0.67512,0.39955,1.25067,0.85537,1.18252,0.005248,0.005248,0.005248
26,3638.2,1.16604,0.96156,1.13816,0.773,0.5925,0.67423,0.40399,1.24078,0.85404,1.1719,0.00505,0.00505,0.00505
27,3759.73,1.16125,0.95291,1.13302,0.7789,0.59719,0.68526,0.41101,1.24168,0.84462,1.17697,0.004852,0.004852,0.004852
28,3884.23,1.15351,0.94449,1.12965,0.77735,0.60113,0.6848,0.41168,1.22792,0.83694,1.16991,0.004654,0.004654,0.004654
29,4004.54,1.14698,0.93705,1.12607,0.78941,0.59747,0.68894,0.41822,1.22603,0.82216,1.16378,0.004456,0.004456,0.004456
